%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1597380906816447499,48,1596774726194960117,base_link,2,0,-6.87082045047,107.572847789,863.631,2.40854153826,8.30197022239e-13,-1.00523840227e-14,8.30197022239e-13,2.40854153826,-1.63446916219e-15,-1.00523840227e-14,-1.63446916219e-15,1.07411483975e-06,3
1597380907016303424,49,1596774726394819021,base_link,2,0,-6.87082030002,107.572845828,863.631,3.04246816103,1.63263846886e-12,-1.24451722584e-14,1.63263846886e-12,3.04246816103,-2.16714494296e-15,-1.24451722584e-14,-2.16714494296e-15,1.07423009052e-06,3
1597380907221099903,50,1596774726594460964,base_link,2,0,-6.87081973533,107.572843233,863.631,2.26168799321,1.91138771477e-13,-9.21588230507e-15,1.91138771477e-13,2.26168799321,-1.51708268039e-15,-9.21588230507e-15,-1.5170826804e-15,1.07415998367e-06,3
1597380907415557507,51,1596774726794183016,base_link,2,0,-6.87081955605,107.572841242,863.631,2.87621775943,-3.3653635434e-13,-1.19180401838e-14,-3.36522476552e-13,2.87621775943,-1.90831495676e-15,-1.19180401838e-14,-1.90831495676e-15,1.07381500417e-06,3
1597380907615955043,52,1596774726974191904,base_link,2,0,-6.87081905851,107.572840166,863.631,2.20523534109,-9.61203339145e-13,-9.09000814291e-15,-9.61203339145e-13,2.20523534108,-1.39075892608e-15,-9.09000814291e-15,-1.39075892608e-15,1.07425095176e-06,3
1597380907815482496,53,1596774727173913956,base_link,2,0,-6.87081848216,107.572837434,863.631,1.92442545342,9.56998369439e-13,-7.92123137732e-15,9.56984491651e-13,1.92442545342,-1.2135084241e-15,-7.9212313773e-15,-1.2135084241e-15,1.0741792463e-06,3
1597380908015906492,54,1596774727373687029,base_link,2,0,-6.87081794277,107.572834732,863.631,1.7978513566,2.96818125634e-13,-7.39296607793e-15,2.96818125634e-13,1.7978513566,-1.19363774638e-15,-7.39296607795e-15,-1.19363774638e-15,1.07440382839e-06,3
1597380908215666772,55,1596774727573432922,base_link,2,0,-6.8708176486,107.572832692,863.631,2.35417781533,3.57436302778e-13,-9.6914755962e-15,3.57450180566e-13,2.35417781533,-1.48079351439e-15,-9.6914755962e-15,-1.48079351439e-15,1.07402224596e-06,3
1597380908416298533,56,1596774727773144960,base_link,2,0,-6.87081755533,107.57283085,863.631,1.99499598815,1.45324030587e-12,-8.14547749203e-15,1.45325418366e-12,1.99499598815,-1.28162571038e-15,-8.14547749198e-15,-1.28162571038e-15,1.07394837049e-06,3
1597380908615396633,57,1596774727992871046,base_link,2,0,-6.87081716086,107.572828371,863.631,1.88826850217,4.39676073327e-13,-7.74095774685e-15,4.39689951115e-13,1.88826850217,-1.1922658615e-15,-7.74095774685e-15,-1.1922658615e-15,1.07400530504e-06,3
1597380908815090800,58,1596774728192703009,base_link,2,0,-6.8708167473,107.572826373,863.631,2.38352064478,-2.25472418514e-13,-9.77846686487e-15,-2.25458540726e-13,2.38352064478,-1.66166679309e-15,-9.77846686487e-15,-1.6616667931e-15,1.0738950082e-06,3
1597380909015655889,59,1596774728392591000,base_link,2,0,-6.87081643479,107.572824328,863.631,2.83749604464,-1.37116706878e-12,-1.15447344961e-14,-1.3711393132e-12,2.83749604464,-1.84376642097e-15,-1.15447344961e-14,-1.84376642097e-15,1.07404906068e-06,3
