%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1597380897441680988,28351,1596774716863845109,imu_link,0.80341763369,0.567254629208,0.147864951121,-0.104298838675,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.1,-0.0,0.01,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,4.04114453125,-0.3064375,-9.2651378125,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1597380897461861527,28352,1596774716883685111,imu_link,-0.80445502617,-0.564980614641,-0.150066158917,0.105494852469,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.14,0.04,0.01,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,4.08442882812,-0.564994140625,-8.86753515625,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1597380897483099251,28353,1596774716903964042,imu_link,-0.805184245377,-0.562982242327,-0.151918583867,0.107935488588,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.15,0.01,-0.03,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,4.12273351562,-0.167391484375,-9.05905859375,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1597380897502259677,28354,1596774716923660039,imu_link,-0.805670001563,-0.561372156759,-0.155006081393,0.10830634759,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.17,0.04,-0.05,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,4.07485265625,-0.234807734375,-9.0782109375,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1597380897522203828,28355,1596774716943795919,imu_link,0.806039454003,0.559967586539,0.157972501226,-0.108542109214,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.21,0.07,-0.09,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,3.85919726562,0.35929796875,-9.073614375,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1597380897541300235,28356,1596774716963613033,imu_link,0.806637364146,0.558645067269,0.161249645253,-0.106067919206,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.17,0.07,-0.03,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,3.7875675,0.234807734375,-8.99202539062,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1597380897561260932,28357,1596774716983580112,imu_link,0.807382636847,0.55724668775,0.163386783805,-0.104470883923,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.14,0.06,-0.01,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,3.7155546875,0.407178828125,-10.0500008594,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1597380897582915721,28358,1596774717004638910,imu_link,0.808391262644,0.55589571417,0.164569739688,-0.101981970106,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.14,0.14,0.03,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,3.49530273437,0.732385625,-9.90635828125,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1597380897603855062,28359,1596774717024647951,imu_link,0.809794997932,0.553970250415,0.166026426273,-0.098915361585,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.08,0.21,0.12,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,3.60562023437,0.847682734375,-10.15533875,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1597380897621147701,28360,1596774717043668031,imu_link,0.811447144224,0.551323107333,0.167784106276,-0.0971846548205,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.01,0.29,0.24,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,3.80671984375,-0.277708984375,-10.3660145312,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1597380897641928356,28361,1596774717064033031,imu_link,0.813388733238,0.547823048619,0.168234142279,-0.0999297223829,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.03,0.38,0.23,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,4.24722375,-0.45965625,-10.3135371094,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1597380897661276091,28362,1596774717083551883,imu_link,0.81485883021,0.544357481981,0.170009591045,-0.10381116314,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.04,0.4,0.2,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,4.31425695312,-0.55541796875,-9.91133789062,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1597380897682764305,28363,1596774717104413986,imu_link,0.816329846407,0.540893388958,0.171319713884,-0.108117895285,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,0.01,0.35,0.15,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,4.53450890625,-0.229828125,-9.96879492187,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1597380897701874396,28364,1596774717123636960,imu_link,0.817274983283,0.538085469853,0.173484239855,-0.111484740454,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,0.04,0.31,0.14,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,4.85511914062,-0.1149140625,-9.60988,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1597380897721245798,28365,1596774717143373966,imu_link,0.818093308076,0.535454257583,0.175934647877,-0.114276318601,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,0.05,0.16,0.11,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,4.95088085937,-0.1486221875,-9.91133789062,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1597380897741678922,28366,1596774717163625955,imu_link,0.818825098088,0.533763360897,0.177005863173,-0.115286849676,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,0.01,-0.0,0.03,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,4.7451846875,0.009576171875,-10.2702528125,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1597380897762388996,28367,1596774717183725118,imu_link,0.819534047932,0.533112017171,0.176585620414,-0.113899254128,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.04,-0.11,-0.07,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,3.50028234375,0.0812059375,-10.7348886719,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
